title,content
Product Overview,"TechCorp CloudSync is an enterprise cloud storage solution that provides secure file synchronization across devices. It supports Windows, macOS, Linux, iOS, and Android. The service offers 100GB free tier, 1TB Professional plan at $9.99/month, and unlimited Enterprise plan at $24.99/user/month."
Getting Started,"To set up CloudSync, download the desktop client from https://cloudsync.techcorp.example.com/download. Install the application, sign in with your TechCorp account, and select folders to synchronize. First sync may take several hours depending on data volume."
File Sharing,"CloudSync supports three sharing modes: 1) Public links (anyone with the link can view), 2) Password-protected links (requires a password you set), 3) Organization-only links (only users in your TechCorp organization can access). Shared links expire after 30 days by default."
Billing and Plans,"TechCorp CloudSync offers monthly and annual billing. Annual plans save 20%. The Free tier includes 100GB storage and 2 device limit. Professional ($9.99/mo) includes 1TB storage, unlimited devices, and priority support. Enterprise ($24.99/user/mo) includes unlimited storage, admin console, SSO, and audit logs."
Security Features,"CloudSync uses AES-256 encryption at rest and TLS 1.3 in transit. Two-factor authentication (2FA) is available via authenticator apps or SMS. Enterprise plans include SAML SSO integration, IP allowlisting, and data loss prevention (DLP) policies."
Troubleshooting Sync Issues,"If files are not syncing: 1) Check internet connection, 2) Verify CloudSync is running (look for the icon in system tray), 3) Check if the file exceeds the 50GB single-file limit, 4) Ensure you have sufficient storage quota, 5) Try restarting the CloudSync service. If issues persist, contact support."
Account Management,"To reset your password, visit https://account.techcorp.example.com/reset. You will receive a verification code via email. Passwords must be at least 12 characters with uppercase, lowercase, number, and special character. Account deletion requests are processed within 30 days."
API Access,"CloudSync offers a REST API for developers. API keys are generated from the Developer Console at https://developer.techcorp.example.com. Rate limits: Free tier 100 requests/hour, Professional 1000 requests/hour, Enterprise 10000 requests/hour. Full API documentation available at https://docs.techcorp.example.com/api."
Data Retention,"Deleted files are kept in trash for 30 days (Free/Professional) or 90 days (Enterprise). Version history retains the last 30 versions of each file. Enterprise plans can configure custom retention policies via the admin console."
Support Channels,"Support is available via: Email (support@techcorp.example.com, 24-48hr response), Live chat (Professional/Enterprise, business hours), Phone (Enterprise only, 24/7). Community forum at https://community.techcorp.example.com for peer support."
Mobile App Features,"The CloudSync mobile app supports automatic photo/video backup, offline file access (mark files as available offline), document scanning with OCR, and biometric authentication. Available on iOS 15+ and Android 12+."
Team Collaboration,"Enterprise teams can create shared workspaces with role-based access: Viewer (read-only), Editor (read/write), Admin (full control including sharing settings). Workspace activity is logged in the audit trail for compliance."
Compliance and Certifications,"TechCorp CloudSync is SOC 2 Type II certified, GDPR compliant, and HIPAA eligible (Enterprise plan with BAA). Data centers are located in US-East, US-West, EU-West, and APAC regions. Customers can choose primary data residency region."
Integration Partners,"CloudSync integrates with Microsoft 365, Google Workspace, Slack, Jira, and Salesforce. Enterprise customers can request custom integrations via the partner program. Webhook support enables real-time notifications for file events."
Migration Guide,"To migrate from other cloud storage: 1) Use the TechCorp Migration Tool (available at https://migrate.techcorp.example.com), 2) Connect your source (Dropbox, Google Drive, OneDrive, Box), 3) Select folders to migrate, 4) Migration runs in background without affecting source. Large migrations (>5TB) may take 48-72 hours."
